id,source_file,course,section,chunk_index,word_count,text
cs-6035-instructional-team-0,cs-6035.txt,CS 6035: Introduction to Information Security,Instructional Team,0,17,"CS 6035: Introduction to Information Security — Instructional Team
Wenke Lee
Creator, Instructor
Chris Taylor
Head TA"
cs-6035-overview-0,cs-6035.txt,CS 6035: Introduction to Information Security,Overview,0,83,"CS 6035: Introduction to Information Security — Overview
Introduction to Information Security is a graduate-level introductory course in information security. It teaches the basic concepts and principles of information security and the fundamental approaches to secure computers and networks. Its main topics include: security basics; security management and risk assessment; software security; operating systems security; database security; cryptography algorithms and protocols; network authentication and secure network applications; malicious malware; network threats and defenses; web security; mobile security; legal and ethical issues; and privacy."
cs-6035-course-content-0,cs-6035.txt,CS 6035: Introduction to Information Security,Course Content,0,57,"CS 6035: Introduction to Information Security — Course Content
To access the public version of this course's content, click
here
, then log into your Ed Lessons account. If you have not already created an Ed Lessons account, enter your name and email address, then click the activation link sent to your email, then revisit that link."
cs-6035-before-taking-this-c-0,cs-6035.txt,CS 6035: Introduction to Information Security,Before Taking This Class...,0,124,"CS 6035: Introduction to Information Security — Before Taking This Class...
Suggested Background Knowledge
Qualifications for taking this class adhere with the
Admission Criteria
given by Georgia Institute of Technology. Upon entering this class, it is assumed that students have completed an undergraduate degree in computer science or a related field.
CS 6035 Relevant Technical Information:
Basic Information Security Prerequisites
Project and Technical Prerequisites
Technical Requirements and Software
Important Information for CS 6035
A few notes on Virtual Machines (VMs):
Apple ARM-based SoCs are
NOT
supported in this course.
Due to technical limitations, only an Intel-based VM is provided.
You will be provided VMs in this class that were built using VirtualBox.
This course
DOES NOT
support or test with any other virtualization software."
cs-6035-academic-integrity-0,cs-6035.txt,CS 6035: Introduction to Information Security,Academic Integrity,0,42,"CS 6035: Introduction to Information Security — Academic Integrity
All Georgia Tech students are expected to uphold the
Georgia Tech Academic Honor Code
. Please refer to the
CS 6035 Academic Honesty
section of the current syllabus for further course specific information."
cs-6150-instructional-team-0,cs-6150.txt,CS 6150: Computing for Good,Instructional Team,0,20,"CS 6150: Computing for Good — Instructional Team
Santosh Vempala
Creator, Instructor
Justin McLellan
Head TA
Mitchell Rysavy
Head TA"
cs-6150-overview-0,cs-6150.txt,CS 6150: Computing for Good,Overview,0,169,"CS 6150: Computing for Good — Overview
How can computing help make the world a better place? Can we avoid wars, alleviate homelessness and improve global health using computers? What are the technical challenges that arise and what humanistic issues have to be taken into account and understood in the process? In this C4G course, we explore problems faced by developing countries and underserved populations from a computing perspective. Examples of problem domains from past offerings include homelessness, mental illness, autism, migrant farm worker health, childhood blindness, and food security. The course will be project-centered with teams of students choosing project topics early in the semester and working towards a deployed solution by the end of the semester. Project topics may come from external partners - these partner organizations generally work on pressing social problems and provide services to communities and individuals in need. More details will be on the Canvas site, and linked from the course site, once ready. For more on the Computing-for-Good initiative, visit
http://c4g.gatech.edu
."
cs-6150-overview-1,cs-6150.txt,CS 6150: Computing for Good,Overview,1,157,"CS 6150: Computing for Good — Overview
For more on the Computing-for-Good initiative, visit
http://c4g.gatech.edu
. This course is not foundational and does not count toward any specializations at present, but it can be counted as a free elective. **CS 8903-C4G**
CS 8903-C4G is a Fall Semester elective in the Online Master of Science in  Computer Science (OMSCS) program. The course focuses on the development of projects for various nonprofits around the world. In CS 6150, student teams select project topics and create solutions; by contrast, in CS 8903-C4G, student teams select prior projects from CS 6150 upon which they will improve. CS 6150 and CS 8903-C4G are separate courses. Students may take CS 8903-C4G following CS 6150, or vice versa, as neither course is a prerequisite for the other. To request a slot in CS 8903-C4G, please contact Head TA Mitchell Rysavy (
mitchell.rysavy@gatech.edu
). For information on registering for CS 8903-C4G, see
this document
."
cs-6150-course-goals-0,cs-6150.txt,CS 6150: Computing for Good,Course Goals,0,87,"CS 6150: Computing for Good — Course Goals
The learning objectives of the course are:
Learn to think about computing for social good and all its complexities.
Undertake a significant, semester-long project working on a team: Identify a problem/project/organization that you are passionate about; design, evaluate and deploy a solution.
Develop a rudimentary understanding of a domain of social importance.
Develop an understanding of the key issues in humanitarian computing, including sustainability, resource availability (or lack thereof), novice user design, and diversity in user and stakeholder populations."
cs-6150-sample-syllabi-0,cs-6150.txt,CS 6150: Computing for Good,Sample Syllabi,0,39,"CS 6150: Computing for Good — Sample Syllabi
Spring 2024 syllabus
(PDF)
Spring 2023 syllabus
(PDF)
Spring 2022 syllabus
(PDF)
Note: Sample syllabi are provided for informational purposes only. For the most up-to-date information, consult the official course documentation."
